"state","stateab","year.x","electors","year.y","weeks_left","days_left","party","candidate","poll_date","poll_support","before_convention"
"Arizona","AZ",2024,11,2024,10,71,"REP","Trump","2024-08-26",44.5692,FALSE
"Arizona","AZ",2024,11,2024,10,71,"DEM","Harris","2024-08-26",45.9269,FALSE
"Arizona","AZ",2024,11,2024,10,72,"REP","Trump","2024-08-25",44.5636,FALSE
"Arizona","AZ",2024,11,2024,10,72,"DEM","Harris","2024-08-25",45.77405,FALSE
"Arizona","AZ",2024,11,2024,10,73,"REP","Trump","2024-08-24",44.4942,FALSE
"Arizona","AZ",2024,11,2024,10,73,"DEM","Harris","2024-08-24",45.8646,FALSE
"Arizona","AZ",2024,11,2024,11,74,"REP","Trump","2024-08-23",44.4147,FALSE
"Arizona","AZ",2024,11,2024,11,74,"DEM","Harris","2024-08-23",45.77265,FALSE
"Arizona","AZ",2024,11,2024,11,75,"REP","Trump","2024-08-22",44.32325,FALSE
"Arizona","AZ",2024,11,2024,11,75,"DEM","Harris","2024-08-22",45.75915,FALSE
"Arizona","AZ",2024,11,2024,11,76,"REP","Trump","2024-08-21",44.39765,FALSE
"Arizona","AZ",2024,11,2024,11,76,"DEM","Harris","2024-08-21",45.58335,TRUE
"Arizona","AZ",2024,11,2024,11,77,"REP","Trump","2024-08-20",44.55575,FALSE
"Arizona","AZ",2024,11,2024,11,77,"DEM","Harris","2024-08-20",45.2739,TRUE
"Arizona","AZ",2024,11,2024,11,78,"REP","Trump","2024-08-19",44.46705,FALSE
"Arizona","AZ",2024,11,2024,11,78,"DEM","Harris","2024-08-19",45.2231,TRUE
"Arizona","AZ",2024,11,2024,11,79,"REP","Trump","2024-08-18",44.18525,FALSE
"Arizona","AZ",2024,11,2024,11,79,"DEM","Harris","2024-08-18",45.4983,TRUE
"Arizona","AZ",2024,11,2024,11,80,"REP","Trump","2024-08-17",44.1078,FALSE
"Arizona","AZ",2024,11,2024,11,80,"DEM","Harris","2024-08-17",45.3666,TRUE
"Arizona","AZ",2024,11,2024,12,81,"REP","Trump","2024-08-16",44.38325,FALSE
"Arizona","AZ",2024,11,2024,12,81,"DEM","Harris","2024-08-16",44.96455,TRUE
"Arizona","AZ",2024,11,2024,12,82,"REP","Trump","2024-08-15",44.1264,FALSE
"Arizona","AZ",2024,11,2024,12,82,"DEM","Harris","2024-08-15",45.07115,TRUE
"Arizona","AZ",2024,11,2024,12,83,"REP","Trump","2024-08-14",44.65565,FALSE
"Arizona","AZ",2024,11,2024,12,83,"DEM","Harris","2024-08-14",45.3223,TRUE
"Arizona","AZ",2024,11,2024,12,84,"REP","Trump","2024-08-13",44.8483,FALSE
